aa	ah
barazahi	paradise
bardani	tare
bari	stay aloof
bari	keep away
bari	separate from
bari	put aside
bari	barium
baridi	cold
baridi	bleak
bariki	bless
bariki	forgive a sinner
bariki	suffice be adequate
barikia	sell at a bargain price
bariyo	left-overs of the previous day
barizi	assemble with others for a chat or leisure talk
barizi	relax out of doors promenade
barizi	go for a walk
bariziana	confront each other in a war
barua	letter epistle note
barubaru	teenager boy
barubaru	adolescent boy
baruti	gun powder
baruti	explosives
basbasi	chalk
basbasi	kernel of a nut-meg
basha	king
basha	leader of soldiers or man of war
basha	male homosexual
basha	sodomite
basha	bugger
basha	sod
bashasha	joy
bashasha	wag
bashasha	charm affable
bashasha	breezy
bashasha	bubbly
bashasha	social
bashasha	jovial
bashiri	foretell
bashiri	bode
bashiri	augur
bashiri	prophesy
bashiri	annunciate
bashiri	proclaim religious news
bashiri	consult a fortune teller
basi	then
basi	well
basi	so
basi	bus
basi	motorcoach
basibasi	mace
basilika	basilica
baso	basso
bastola	pistol
bastola	revolver
basua	anxiety
basua	confusion of mind
bata	duck
bata	quack-quack
batabata	waddle
batabata	walk flatkv i flat-footed
batabukini	goose
batamwitu	wild duck
batamzinga	turkey
batalioni	battalion
batela	ship with one perpendicular mast
bati	white hard metal
bati	sheet
bati	tin
bati	galvanized iron
bati	corrugated iron
batiki	batik
batili	annul
batili	cancel
batili	revoke
batili	annulment invalid null and void
batili	revoked
batilisha	annul
batilisha	adeem
batilisha	disappoint
batilisha	overrule abrogate
batilisha	nullify
batilisha	revoke
batini	belly
batini	innermost thoughts intentions
batinilhuti	small stars forming the shape of a fish
batinilhuti	shining star used as a decoration on a piece of cloth
batinilhuti	andromeda
batisfia	bathysphere
batiza	baptize
batli	log book
bato	ringworm
batobato	open flat ground
batobato	dancing place
batobato	coloured spots strips on the body of an animal
batobato	duck movement
batobato	toddling
batua	toddle waddle
batuka	shout
batuli	virgin
baua	urinate
baua	pass water
baura	anchor with two flukes
bawa	wing
bawa	anything with similar shape
bawaba	hinge
bawabu	door-keeper
bawabu	commissionaire
bawabu	porter
bawabu	concierge
bawasiri	piles
bawasiri	haemorrhoids
bawe	coral rock
bawibu	divide a book into chapters
baya	bad
baya	ugly
baya	adverse
baya	unacceptable awful
baya	sinister
baya	wicked
bayana	evidence
bayana	proof
bayana	exhibit openly
bayana	patently
bayana	publicly transparent
bayani	eloquence
bayani	rhetoric
bazazi	conman
bazoka	bazooka
beba	carry
beba	convey
beba	bear
bebe	hollow bone
beberu	billy-goat
beberu	strong man
beberu	person who emits a strong offensive odour
beberu	imperialist
bechi	batch
bedeni	double ended south Arabian ship of between
bedeni	and
bedeni	tons canoe
bedui	bedouin ruthless person
bee	yes
bega	shoulder
begi	bag
behadani	sticky substance used for dressing womens hair
behewa	roofless inner court
behewa	godown
behewa	goods shed
behewa	railway wagon
bei	price
bei	cost
beji	badge
beki	defender
beki	back
beku	old winnowing basket
bekua	keep off
bekua	ward off
bekua	grab
bekua	seize
belele	excessively
belele	plenty
belele	abundantly
belenga	strut
belenga	show-off
belenga	walk proudly
beleshi	spade shovel
bemba	pry
bemba	wheedle
bemba	coax
bemba	cajole
bemba	entice
bemba	coquette
bemba	philander
bemba	wheedle
bemba	allure
bemba	seduce
bembe	foodstuffs sent to an individual as a present
bembe	skittish
bembea	swing
bembea	rock
bembea	oscillate
bembea	- swing
bembea	seesaw
bembeleza	soothe blandish mollify calm quieten sb
bembeleza	coax lull sb to do sth
bembeleza	wheedle
bembeleza	woo entice the opposite sex by facial expressions
bembezi	sultry
benchi	bench
bendeji	bandage
bendera	flag
bendera	standard
bendera	banner
bendi	band
bene	scapegoat
beneti	bayonet
beni	band
benibeni	askew
benibeni	crocked
benibeni	awry
benjua	reduce the length of a dress
benki	bank
benua	make something protrude or bulge out or stick out
benzini	benzine
bepari	capitalist
bera	disdain
bera	snub
bera	case
beramu	flag
beramu	banner
beregeza	beat about the bush
beregeza	avoid a question intentionally
bereti	beret
bereu	tar
bereu	pitch
bereu	oil used to protect a vessel from leaking
beriberi	beriberi
beseni	basin
beseni	tub
besera	frame for mosquito net
besi	bass
beta	bend
beta	turn
beta	beta
beti	soldiers pouch
betili	two masted vessel
betri	battery
betua	cut
betua	punt
betua	slice
betua	snick
beua	disdain
beua	spurn
beua	sniff at
beua	deride
beua	scorch
beza	scorn
beza	disdain
beza	ridicule
beza	deride
beza	pooh-pooh
beza	slight
bi	miss
bia	agreement
bia	cooperation
bia	beer
biabia	work diligently vigorously
biashara	trade
biashara	commerce
biashara	business
biarusi	bride
bibi	grandmother
bibi	lady
bibi	senrita
bibi	memsahib
bibi	madam
bibidua	twist lower lip as a sign of disdain or contempt
bibidua	pout
Biblia	Bible
bibliografia	bibliography
bibo	cashew apple
bibu	bib
bichi	unripe
bidaa	innovation
bidhaa	merchandise
bidhaa	trade goods
bidhaa	ware
bidhaa	commodity
bidhori	unwillingly
bidhori	by force
bidi	be obliged to
bidi	be compelled
bidi	be pressurized to do sth
bidii	effort
bidii	struggle
bidii	activity
bidii	devotion
bidii	zest
bidii	endeavour
bidiisha	take special plans
bidiisha	exert strength
bifu	beef
biganya	combine mix
bighairi	irrespective of besides
bigija	grasp
bihi	forgo
bihi	forfeit dowry to obtain a divorce
bikabonati	bicarbonate
bikari	compass
bikari	dividers
bikini	bikini
bikira	virgin
bikiri	deflower
bikiri	defile
bikizee	very old woman
bila	without
bila	not having
bila	nil
biladi	town
biladi	anything to do with urban
bilahi	in Gods name
bilashi	no reason
bilashi	nothing
bilashi	no profit
bilauri	tumbler glass
bilauri	schooner
bilda	Sagittarius
bildi	plummet sinker
bildi	the weight of a clock
bili	bill invoice
biliadi	billiard
bilikuli	no way
bilioni	billion
biliwili	linnet
bilula	water tape
bilula	cock
bilula	spigot
bilula	tap
bima	insurance
bimbashi	sergeant
bimbashi	corporal
bimbirisha	push forcefully
bimbirisha	flare up
bimbirisha	fire
bimbiriza	light fire
bimbiriza	set fire to
bimkubwa	old woman
bimkubwa	mother
bin	son of
binadamu	human being
binadamu	person
binafsi	ones own self
binamu	cousin
binda	okra
binda	ladys fingers
bindo	a folded part of the loincloth usually used as a pocket for carring things
bingirisha	roll
bingwa	specialist
bingwa	adept
bingwa	consultant
bingwa	expert
bingwatapeli	quack
bingwatapeli	conman
bini	forge
bini	counterfeit
binti	daughter
binti	miss
binti	girl
binti	young lady
binua	protrude
binya	pinch
binya	squeeze
binya	tweak
binya	nip
binya	constrict
binzari	curry powder turmeric
bireta	biretta
biri	tobacco leaf used for rolling local cigarette cigar
biri	you darent
biogesi	biogas
biokemia	biochemistry
biolojia	biology
biriani	cooked rice mixed with fried steak and pepper
birigiji	cloth with light faint yellow colour
birika	kettle
birika	watertank
birika	watertub
birika	bath
birimbi	fruit of mbirimbi
biringa	drop something down
biringa	let something drop or fall down
biringani	eggplant
biringani	aubergine
bisbisi	screwdriver
bisha	knock at the door
bisha	defy
bisha	disobey
bisha	demur
bisha	argue
bisha	impugn
bisha	lead to the direction of wind
bishara	good news
bishaushi	sergeant
bishi	defiant
bishi	recalcitrant
bishi	argumentative
bisho	the act of a vessel going towards undesirable direction
bisi	fried maize millet
bisi	corn
bisibisi	screw driver
biskuti	biscuit
bismillah	in the name of God beginning of any event
bismillah	for example before starting eating something
bitana	silk lining material
biti	daughter
biti	young lady
biti	miss
biti	girl
biti	melody
bitimarembo	light green
bivu	ripe
biwi	pile of refuse in a garden huge pile of garbage
bizari	curry powder turmeric
bizimu	brooch
bizimu	buckle
blabu	blurb
blanketi	blanket comfort
blauzi	blouse
blauzi	tunic
bleza	blazer
bloku	block
blowa	blower
bluu	blue
boba	tighten
boba	tie
boba	fasten
bobari	chisel
bobea	immerse
bobea	indulge
bobo	huge tree
bobo	stupid person
boboka	sie babble
boboka	gabble
boboka	jabber
bobwe	mixture of various types of small fish
boda	boarder
boda	boarding school student
boda	boarding school
bodi	body
bodi	board
bodwe	marrow
boflo	loaf
bofya	press
boga	pumpkin squash
bogi	wagon bogy bogie bogey
bohadi	lengthen the sail sheet of sailing boat
bohari	godown
bohari	store
bohari	ware house
bohari	stock-room
boharia	storekeeper
boi	house boy servant
boji	local beer brewed from maize husks
bojia	tip toe
bokoa	enter
bokoa	appear
bokoa	get bumper harvest
bokoboko	food cooked with wheat flour mixed with meat
bokoboko	thick roundish banana very soft when cooked
bokoka	become glutton
bokoka	greedy
bokoka	protrusion of eye due to long illness or fear
bokoka	become slim due to loss of weight
bokora	grasp
bokora	seize grip clutch
boksi	box
boksi	crib
boksiti	bauxite
bolamvuvi	fish with green white and red spots
bolero	bolero
bolpeni	ball pen
bolpeni	ball point pen
bolti	bolt
boma	enclosure
boma	fort
boma	fortress
boma	stockade
boma	bulwark
boma	government offices
boma	barrage
boma	dike dyke
bomazuizi	mole
bomba	pipe
bombo	pair of shorts
bombo	a long-tailed male bird with black and white colour
bombo	sniffles
bombomu	sub-machine gun
bombomu	bomb
bombwe	decorative patterns
bombwe	pot sherd
bombwe	larva
bomla	wild lizard
bomoa	demolish
bomoa	destroy
bomoa	ruin
bomoa	batter down
bomoa	spoil
bomoko	remains of a building
bomoko	ruins
bomu	bomb
bomu	missile
bomu	bass drum
bomu	scandal
bomu	a difficult quiz
bomu	bomb
bomu	attack somebody by words
bonasi	bonus
bonasi	premium
boneti	bonnet
boneti	hood
bonde	valley
bonde	hollow dean dell
bonde	depression
bondia	boxer
bonga	bore a hole
bonge	roundish lump
bonge	ball clod
bonge	big
bonge	huge
bongo	brain
bongo	intelligence
bongo	intellect
bongo	bongo drum
bong'oa	stoop
bono	fish
bonyea	be dented
bonyeza	push on press on
bonyeza	tdebonyezeatdkbonyezekatdnbonyezanatdsbonyezeshatdwbonyezwa b
bopa	soft touch
bopa	soft press
bopa	hollow
bopo	soft touching
bopo	soft pressing hollow
bopo	dent
bora	better
bora	superb
bora	splendid
bora	sovereign
bori	clay bowl of a hookah pipe
boribo	type of mango fruit with reddish colour around the stalk
boriti	spar
boriti	boom
boriti	beam
boriti	girder
borohoa	thick broth of cooked beans
boromali	shark
boronga	spoil
boronga	muddle
boronga	mess up
boronga	make a bloomer
boronga	blunder
boronga	fuss
borongo	muddle
borongo	spoil muddled
borongo	spoiled that which has been spoiled
bosa	rope tied on an anchor to keep a vessel in its place
boshoa	split
boshoa	tear
boshoa	slice
bosi	boss
bosi	master
bosi	employer
botania	botany
botanisha	botanize
boti	boat
bovu	defective
bovu	rotten
bovu	unhealthy
bovu	worthless dilapidated
boya	buoy
boya	raft
boya	float
boza	jerk
boza	a dull soul
bozi	buffoon
bozi	stupid foolish person
bozi	rattle-brain
bozi	rattle-pate
bozi	simpleton daft slow-witted
bozi	soft-headed
braketi	bracket
braketi	parenthesis
brandi	brandy
brandi	cognac
brashi	brush whisk
breki	brake
breki	break
breki	recess
breli	braille
breviari	breviary
brigedia	brigadier
brigedi	brigade
briji	bridge
brokoli	broccoli
bromidi	bromide
bronki	brooch
brosha	brochure
bruchi	pin breast pin
bruchi	brooch
brudabradha	brother
bu	word used to denote the falling of something heavy
bua	stalk lightweight
bua	poker
buabua	slice
buathi	raise up
buba	yaws
bubu	dumb
bubu	mute person
bubujika	babble out up over gush out
bubujika	burst out
bubujiko	spring of water
bubujiko	gusher
bubukiziwi	deaf-mute
buburusha	push
buburusha	shove
bubuta	beat
bubuta	strike
bucha	butcher
bucha	butchers shop
buchari	large knife
buda	very old man person who is toothless or has but few teeth
buda	old elephant without horn or born hornless
budaa	flour balls in porridge
budaa	make flour balls
budhara	extravagance
budhara	misappropriation
budhara	wastefulness in using money or property
budi	must
budi	compel
bufuu	empty shell
buga	glean
buga	sponge
buge	person with a missing finger or toe
buge	gourmand
buge	glutton
bughudha	disturbance
bughudhi	disturb
bughudhi	incommode
bugi	magic used by thieves believed to cause deep sleep and doors to open
bugi	boogie
bugibugi	boogie woogie
bugia	gulp
bugu	stem of any creeping plant used as a cord or rope in building or making baskets
bugu	- dissatisfaction
buguika	gush out
buguika	bubble out
buguika	burst out
buheri	with happiness
buheri	with good health
buhumu	lung
buhuri	incense
buhuri	incense smoke
bui	large spider
bui	hide-and-seek game
bui	friend
bui	companion
bui	confidant
buibui	spider
buibui	purdah
bujua	remove the kernel of a fruit
bujua	take off the stone of a fruit
buka	sorrow
buka	distress
buka	fierce
buka	cruel
buki	kidney
buku	big rat
buku	beaver hamster
buku	book
bukua	swot
bukua	read intensively in preparation for examinations
bukua	reveal a secret
bukua	scandal or wrong doing
buldani	cities towns
buldoza	bulldozer
buli	teapot
buli	kettle
bulibuli	white embroidered cap
bulibuli	good
bulibuli	nice
buliana	bowsprit
bulughi	a person who has not yet reached adolescence
bulugutu	wad
buluu	blue azure
bumarengi	boomerang
bumba	swarm
bumba	lump
bumba	packet
bumba	plug
bumba	small parcel
bumba	roll
bumba	collection of things or insects
bumbuaza	discomfit
bumbuazi	perplexity
bumbuazi	amazement
bumbuazi	stupefaction
bumbuazi	astonishment
bumburuka	be startled
bumburusha	startle
bumburusha	scare away off
bumbwaa	hibernate
bumbwi	rice flour mixed with sugar
bumbwi	scraped coconut
bumbwi	and little water or coconut juice and eaten without being cooked
bumia	beam forming a stern post of a dhow fastened to the keel
bumia	and carrying the rudder-post
bumu	an old fashioned dhow
bumunda	- fried bun
bumunda	doughnut
buna	burner
bunda	bale
bunda	bundle
bunda	pack
bunda	ream
bundi	owl
bundi	night bird
bundi	bad omens
bunduki	gun
bunduki	rifle
bunduki	musket
bunga	fool
bunga	simpleton foolish
bunga	silly
bungala	thick rice banana sugarcane
bunge	Parliament
bunge	National Assembly
bungo	fruit with sap like Indian rubber
bungo	beetle
bungo	small bowl
bungu	poisonous fish of diodon kind
bungua	bore holes in grain
bungua	timber etc usually by insects
bunguu	serving bowl plate made of clay
bunguu	dish
buni	coffee berry
buni	coffee bean
buni	invent
buni	devise
buni	concoct
buni	fabricate
buni	coin
buni	build a vessel
bunifu	imaginative
bunju	taz
bunta	slipway
bunta	landing stage
bunta	ship building yard
bunta	dock
bunta	jetty
bunzi	maize cob
bupu	empty shell eg of a coconut
bupuru	empty coconut shell
bupuru	skull
bura	Muscat cloth
buraa	forgiveness of obligation
buraa	debt or dowry
buraha	rest
buraha	ease
buraha	comfort snug
burahi	be comfortable
burahi	feel better
burai	forgive
burai	exculpate
burai	exonerate
burai	give up or renounce a claim
burai	let off payment
burashi	brush
bure	free
bure	gratis
bure	buckshee
bure	useless uselessly
bure	in vain
bure	for no good cause or result
bure	idly
bureti	burrette
buri	small elephant tusk when just beginning to grow
buriani	last words
buriani	farewell
buriani	especially of people going for a long journey
buriani	bon voyage
buru	gourd used for preparing butter
burubuku	coins with Arabic script showing ancient coastal cities of
burubuku	th century such as Mombasa
burubuku	Lamu and Pate
burudani	entertainment
burudani	recreation
burudani	refreshment
burudani	amusement
burudani	pastime
burudani	comfort
burudika	refresh
burudika	entertain oneself
burudisha	be refreshing comforting entertaining
burudisha	amuse
buruga	harrow
buruga	stir up the soil
buruga	mix together by stiring when preparing food
buruga	create disorder
buruga	muddle sth
buruhani	special gift from God whereby all prayers are answered
buruji	battlement
buruji	indented parapet of a house
buruji	fort
